competences,date_publication,detail_offre,email_rh,entreprise,intitule_offre,referenciel,region,type_offre,url_offre
"Titulaire d'un Bac+5 en comptabilité, avec un minimum de 4 ans d'expérience dans un poste similaire, idéalement acquis dans un environnement industriel ou de production. Maîtrise des logiciels comptables (SAP, Sage, Odoo équivalent). Avoir une expérience préalable dans l'élaboration d'états financiers. Bonne connaissance des normes comptables locales et internationales. Maîtrise des outils bureautiques, notamment Excel. Excellentes compétences analytiques et de reporting. Rigueur et organisation. Esprit d'analyse et capacité à résoudre des problèmes. Aptitude à travailler de manière autonome et en équipe. Orienté résolution de problèmes. Capacité d’analyse et de synthèse.",Publiée le 27.11.2024,"Lysa & Co est une entreprise spécialisée dans la transformation et la commercialisation de produits agricoles, recrute un (e) Comptable Confirmé (e).
Missions principales :

Le comptable chez Lysa & Co) sera chargé de gérer la comptabilité générale et analytique de l'usine, d'assurer la conformité aux normes comptables et fiscales, et de produire des états financiers précis pour accompagner les prises de décision stratégique

Responsabilités :
Tenue de la comptabilité générale :

Superviser l'assistant comptable dans l'enregistrement des opérations comptables courantes (achats, ventes, trésorerie, etc.).
Assurer la gestion des immobilisations et des amortissements.

Suivi des comptes clients et fournisseurs :

Gérer la facturation et le recouvrement des créances.
Vérifier et régler les factures fournisseurs dans les délais.

Gestion des déclarations fiscales et sociales :

Préparer et effectuer les déclarations fiscales (TVA, IS, retenue à la source, etc.) dans le respect des échéances légales.
Préparer et effectuer les cotisations sociales et assurer leur conformité.

Élaboration des états financiers :

Préparer les bilans, comptes de résultat et annexes.
Fournir les rapports comptables et financiers requis par la direction.

Contrôle et audit :

 Assurer la cohérence et la conformité des écritures comptables
Préparer les documents nécessaires pour les audits internes ou externes.

Analyse et optimisation :

Réaliser des analyses financières pour améliorer la gestion des coûts et optimiser les marges.
Proposer des mesures pour améliorer la rentabilité et réduire les dépenses inutiles.
Préparer un reporting mensuel destiné à la gérante et un reporting trimestriel à l'attention des investisseurs.

Collaboration :

Travailler en collaboration étroite avec les équipes de production, de gestion des stocks et de vente pour garantir une comptabilité fiable.",,RDE SAS,Comptable Confirmé (e) - Dakar,Referent Digital,Dakar - Thiès,CDI,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/comptable-confirme-e-dakar-1229771
"3 à 5 ans dans la vente et le développement commercial, idéalement dans le secteur du luxe ou de la beauté   Forte détermination et volonté d’atteindre des objectifs ambitieux, avec une approche proactive et rigoureuse.    Expertise en relation client, capacité à créer un lien de confiance et à dépasser les attentes des clients.    Éloquence, confiance en soi, et capacité de persuasion hors pair.    Prêt à s'investir personnellement pour les objectifs de l'entreprise, résistant au stress et flexible dans un environnement en constante évolution.",Publiée le 02.12.2024,"Une entreprise leader dans le secteur de la beauté et du bien-être au Sénégal recherche un Senior Commercial, Business Developer  pour ses trois points de vente physiques. Ce profil stratégique intégrera la Direction Commerciale BtoC et jouera un rôle clé dans le développement et l’animation des ventes en magasin. Nous recherchons une personne passionnée par la performance, animée par l'atteinte des objectifs, et disposant d’une forte expertise en service client de luxe. 
Missions Principales 1. Développement Commercial et Animation des Points de Vente : 

Identifier et mettre en œuvre des stratégies de développement commercial pour accroître la fréquentation et les ventes dans les trois points de vente. 
Mettre en place des actions d’animation innovantes pour captiver et fidéliser la clientèle. 
Définir et piloter les objectifs de vente, tout en visant à dépasser les performances attendues. 

2. Obsession Client et Expérience de Vente de Luxe : Proposer une expérience client irréprochable, alliant service personnalisé et 

Excellence propre aux standards du luxe. Maîtriser l’art de la vente en magasin, de la gestion d’une clientèle exigeante et de la 
Fidélisation des clients. Collecter les retours clients et les transformer en opportunités d’amélioration 
Continue.",,MK WELLNESS & BEAUTY,"Prestataire Indépendant Senior Commercial, Business Developer - Dakar",Referent Digital,Dakar - International,Freelance,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/prestataire-independant-senior-commercial-business-developer-dakar-1222147
"Capacité à comprendre et à formaliser les besoins métier 
 
Familiarité avec les systèmes d'information, les bases de données et les environnements logiciels. 
 
Expérience démontrée en implantation de logiciels d’envergure (ERP, MRP, CRM, système comptable, etc.).  
 
Grande aisance avec les outils technologiques. 
 
Expérience démontrée de projet en mode « Agile / Scrum ». 
 
Connaissance des outils JIRA, Wrike, MS Project ou similaire. 
 
Être parfaitement bilingue en français et en anglais, à l'oral comme à l'écrit.  
 
Certifications PMP, Scrum Master et ITIL (atouts).",Publiée le 27.11.2024,"Nous sommes à la recherche d'un Analyste Fonctionnel Bilingue.
Mission(s) principale(s)  :
L'Analyste Fonctionnel est responsable d'analyser les besoins des utilisateurs, de traduire ces besoins en spécifications fonctionnelles détaillées et de servir de lien entre les équipes techniques et les utilisateurs finaux pour assurer la bonne mise en œuvre des solutions logicielles ou systèmes. 
Responsabilités : 


Recueillir et analyser les besoins des utilisateurs en collaboration avec les parties prenantes. 


Rédiger des cahiers des charges et des spécifications fonctionnelles claires et détaillées. 


Collaborer avec les équipes techniques pour assurer la faisabilité et l'alignement des solutions proposées avec les besoins fonctionnels. 


Assurer le suivi du développement et vérifier la conformité des livrables avec les attentes des utilisateurs. 


Organisateur et animer des ateliers de travail avec les utilisateurs pour affiner les besoins. 


Participer à la phase de recette fonctionnelle et s'assurer que les tests sont conformes aux exigences définies. 


Former les utilisateurs finaux et fournir la documentation nécessaire à l'utilisation des nouvelles solutions. 


Assurer le support fonctionnel auprès des utilisateurs en cas de besoin.",,TRANSNUMERIK,Analyste Fonctionnel Bilingue - Dakar,Referent Digital,Dakar,CDI - CDD,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/analyste-fonctionnel-bilingue-dakar-1228978
Bonne élocution en français  Être expérimenté  Avoir un esprit d'équipe et être dynamique  Avoir de très bonne compétences en télévente,Publiée le 22.11.2024,"Nous sommes à la recherche de Agents Télévendeurs expérimentés dans le domaine des centre d'appels.
Missions :

Prospection : Identifier et contacter de nouveaux clients potentiels à partir de fichiers clients ou de bases de données.
Vente : Présenter de manière claire et convaincante les produits ou services de l'entreprise, en répondant aux objections et en adaptant son discours à chaque profil de client.
Négociation : Négocier les conditions de vente et conclure des affaires.
Fidélisation : Assurer un suivi commercial auprès des clients existants afin de renforcer la relation et générer des ventes additionnelles.",,HELLO CENTER,Agents Télévendeurs - Dakar,Referent Digital,Dakar,CDD,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/agents-televendeurs-dakar-1226702
"Rigueur et attention aux détails : Souci du détail dans chaque étape du processus de montage, en veillant à la précision des coupes et des transitions.
 
Autonomie et initiative : Capacité à travailler de manière autonome tout en prenant des initiatives pour améliorer le produit final.
 
Adaptabilité : Être réactif et capable de s’adapter à des demandes changeantes, tout en maintenant une haute qualité de production.
 
Compétences en communication : Excellentes capacités à recevoir et appliquer les retours de l'équipe, tout en étant capable d'expliquer les choix créatifs avec clarté.
 
Expérience préalable dans le montage vidéo, avec un portfolio de projets variés (publicité, vidéos sociales, production commerciale, etc.).
 
Minimum de 3 ans d'expérience en tant que Monteur Vidéo ou poste similaire.
 
Connaissance approfondie de l’édition vidéo et du workflow de production.
 
Parfaite maîtrise de la langue française, tant à l’écrit qu’à l’oral.
 
Maîtrise des logiciels de montage vidéo : Excellente maîtrise d'Adobe Premiere Pro, Final Cut Pro, DaVinci Resolve et autres outils de montage vidéo.
 
Compétences en motion design et effets visuels : Bonne maîtrise d'Adobe After Effects pour la création de graphiques animés, d’intros, de transitions et d'animations.
 
Compétences en son : Connaissances en édition et mixage audio, avec utilisation de logiciels tels qu'Adobe Audition ou Audacity.
 
Créativité : Capacité à raconter des histoires visuellement en utilisant les images et les sons de manière cohérente et engageante.
 
Gestion de fichiers et compression : Savoir gérer des projets de grande envergure, optimiser les vidéos pour différentes plateformes (YouTube, Instagram, etc.), tout en maintenant une qualité optimale.
 
Connaissance des formats vidéo : Compréhension des besoins spécifiques des plateformes sociales, y compris les formats et durées optimaux.
 
Opportunités de développement professionnel : Formation continue, opportunités d'évolution et projets diversifiés.
 
Environnement dynamique : Travail avec une équipe créative et passionnée par le marketing et la vidéo.
 
Projets stimulants : Participation à des projets de grande envergure pour des clients de renom.
 
Disponibilité : La disponibilité immédiate est souhaitée, mais nous sommes flexibles sur les délais de démarrage.
 
Évaluation des Compétences : Un test de projet pourra être demandé dans le cadre de l'entretien pour évaluer la qualité du montage vidéo et la compréhension des attentes spécifiques.",Publiée le 29.11.2024,"CDM Marketing – Entreprise leader en marketing numérique et création de contenu, recherche un Monteur Vidéo talentueux et expérimenté pour rejoindre son équipe dynamique. Ce poste clé au sein de notre département créatif offre l'opportunité de travailler sur des projets variés, allant de la création de contenu pour les réseaux sociaux à la production de vidéos marketing.
Missions Principales :


Montage vidéo : Montage et assemblage des séquences vidéo brutes pour en faire un produit final fluide, engageant et professionnel.


Création de contenu : Collaboration étroite avec notre équipe marketing pour créer des vidéos alignées avec nos objectifs de marque et de communication.


Effets visuels et animation : Intégration d'effets spéciaux, animations et graphiques en mouvement (via Adobe After Effects, etc.).


Édition audio : Synchronisation et amélioration de la qualité sonore des vidéos, avec une attention particulière à la clarté et à l’équilibre sonore.


Gestion de projet : Suivi de l'avancement des projets, respect des délais et gestion des retours clients de manière efficace.",,CRÉATIF DIGITAL MARKETING,Monteur Vidéo - Télétravail,Referent Digital,International,CDI - CDD - Freelance,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/monteur-video-teletravail-1230700
"Marketing digital, Communication, Journalisme Excellentes capacités rédactionnelles en anglais et en français : Maîtrise parfaite de la langue français (orthographe, grammaire, style) et de la langue anglaise Connaissances en SEO : Bonnes pratiques d'optimisation pour le référencement naturel, gestion de mots clés, balises méta. Capacité à adapter le style d’écriture : En fonction des cibles (B2B, B2C, grand public, etc.). Esprit de synthèse : Capacité à transformer des informations complexes en contenus clairs et compréhensibles. Esprit créatif et curieux : Capacité à trouver des angles originaux et à se renouveler. Flexibilité, adaptabilité, ouverture d’esprit et rigueur ; Sens de l’organisation et rigueur ; Esprit d'équipe, engagement et sens du service ; Proactivité et capacité à travailler de manière autonome. La connaissance de l’organisation de grands évènements internationaux serait un plus ;",Publiée le 20.11.2024,"Dans le cadre d'une mission de recrutement pour les jeux olympiques (JO 2026) à Dakar, Tectra cherche un Rédacteur (trice) Web.
Missions :
Rédaction de contenus optimisés pour le web :

Rédiger des articles pour le site internet Dakar 2026 en collaboration avec l’agence digitale et le site internet Jokko 2026 et assister le département Communication sur la rédaction de documents, communiqués de presse, légendes de publications, règlement de concours
Assister les différents départements (Engagement, SIL) sur les besoins rédactionnels
Adapter le style rédactionnel selon la cible et les objectifs de communication (informative, persuasive, ludique, etc.).
Veiller à la qualité des contenus produits : orthographe, syntaxe, et cohérence globale

Optimisation SEO : 

Intégrer les bonnes pratiques de SEO dans les textes (choix des mots-clés, très accrocheurs, balises méta, etc.)
Assurer un bon maillage interne et la structuration des articles
Travailler en collaboration avec les équipes SEO du CIO pour améliorer le classement des contenus dans les moteurs de recherche

Gestion du calendrier éditorial :

Respecter les délais de publication et suivre un planning éditorial structuré.
Proposer des idées de sujets et de contenus adaptés aux objectifs du COJOJ
Collaboration avec les équipes marketing, engagement et SIL :
Travailler en étroite collaboration avec les équipes marketing et engagement pour aligner le contenu avec les campagnes et les objectifs

Analyse de la performance des contenus :

Utiliser des outils d’analyse pour suivre les performances des articles et ajuster les stratégies en
fonction des résultats en collaboration avec l’agence digitale
Réaliser des optimisations sur les anciens articles pour améliorer leur positionnement SEO et leur taux de conversion.",,TECTRA SÉNÉGAL,Rédacteur (trice) Web - Dakar,Referent Digital,Dakar,CDD,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/redacteur-trice-web-dakar-1219307
,Publiée le 20.11.2024,"Nous recrutons un Délégué Médical.
Missions :
Il/elle aura pour missions le développement du portefeuille de clients professionnels de santé et la promotion de la gamme de nos produits diététiques au sein d’une zone géographique définie. Auprès de ces professionnels, il/elle en assure la promotion, la vente, l’information et le bon usage dans le respect du cadre réglementaire et de la stratégie de notre entreprise.
Préparation et organisation de l’activité commerciale
• Réalisation d’entretiens d’information, de promotion et de conseil auprès des professionnels de santé.
• Réponse à leurs questions sur un ou plusieurs produits et services.
• Développement de relations avec les différents professionnels de santé sur le secteur concerné.
• Recueil et traitement d’informations sur les produits, à partir de la documentation et des sessions de formation, pour préparer les visites et les actions de communication.
• Gestion des visites dans le cadre d’un plan d’action et d’un travail en équipe.
• Proposition et/ou élaboration d’un plan d’action sectoriel à partir des objectifs nationaux et régionaux.
• Organisation et animation d’actions de communication professionnelle et promotionnelle.
• Analyse des résultats et mise en place des actions correctives et de développement
• Organiser la préparation logistique des tournées de visites : trajets, réservation d’hébergement dans une logique d’optimisation des visites.
• Analyser les données clients et les écarts par rapport aux objectifs fixés.
Gestion administrative et reporting
• Réaliser régulièrement le reporting des tournées auprès des clients.
• Faire remonter les informations techniques, commerciales et réglementaires à la hiérarchie ou au service concerné
• Assurer une veille concurrentielle.
• Rédiger des comptes rendus de visite.
• Réaliser des points d’avancement de ses objectifs avec son responsable.
• Participer aux réunions commerciales internes.",,LATEEF ENTREPRISE SARL,Délégué Médical - Dakar,Referent Digital,Dakar - Thiès,CDD - Stage,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/delegue-medical-dakar-1224375
"Niveau Bac+3/4 validé en mathématique ou statistique ou informatique ou équivalent  Maîtrise des outils d'analyse de données : Excel, SQL, Python ou R.  Capacité à manipuler et à analyser de grandes quantités de données.  Connaissance des techniques statistiques et des méthodes d'analyse de données.  Compréhension des principes de visualisation de données et de création de tableaux de bord.  Aptitude à communiquer les résultats d'analyse de manière claire et concise.  Capacité à travailler en équipe et à collaborer avec d'autres membres de l'équipe.",Publiée le 02.12.2024,"En tant qu'Alternant Data Analyste, vous rejoindrez notre équipe de spécialistes en données. Vous bénéficierez de l'encadrement de nos Data Analysts seniors et participerez activement à diverses missions telles que l'analyse de données, Création de tableaux de bord... 
Vos missions : 

Identification des besoins en données de l'entreprise et leurs objectifs d'analyse. 
Collecte des données à partir de différentes sources telles que des bases de données, des fichiers Excel, des API, etc. 
Nettoyage et préparation des données. 
Analyse des data grâce aux langages de programmation tels que Python, R, SQL ou Excel. 
Création de tableaux de bord, de graphiques et de visualisations. 
Élaboration de rapports et des recommandations. 
Collaboration avec d'autres membres de l'équipe, tels que les Data Scientists et les Data Engineers, pour résoudre des problèmes complexes.",,KAISCHOOL,Alternant en Data Analyst (F/H) - Fontenay-sous-Bois,Referent Digital,International,Alternance,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/alternant-data-analyst-fh-fontenay-sous-bois-1213177
"Bac+5/ Diplôme universitaire en gestion de l’environnement, gestion des opérations, ou un domaine connexe. Minimum de 3 à 5 ans d'expérience dans la coordination des services de nettoyage ou de gestion des déchets, idéalement dans le cadre d'événements internationaux ou de grande envergure. Connaissance des pratiques de gestion des déchets, y compris le tri sélectif, le recyclage et la gestion des déchets dangereux. Maîtrise des normes environnementales et des exigences de sécurité en matière de gestion des déchets. Compétences en gestion de projet, planification et organisation. Grande aisance relationnelle et capacité à négocier avec les différents prestataires et autorités. Bonnes compétences communicationnelles en français et en anglais.   Expérience dans l’organisation et la gestion d’évènement sportif   Flexibilité face aux imprévus, adaptabilité, ouverture d’esprit et rigueur ; Grande Capacité organisationnelle   Collaboration avec les autres fonctions opérationnelles Esprit d'équipe, engagement et sens du service à la clientèle ;",Publiée le 20.11.2024,"Nous sommes à la recherche d'un(e) Coordinateur du Nettoiement et du Tri des Déchets.
Le/La Coordinateur/trice Cleaning & Waste (CNW) pour les Jeux Olympiques de la Jeunesse (JOJ) Dakar 2026 est chargé de coordonner la gestion opérationnelle des services de nettoyage et de gestion des déchets sur les différents sites de compétition et de non-compétition. Il/elle assure que les sites sont maintenus propres et conformes aux normes d’hygiène, environnementales et de durabilité, et coordonne les équipes et les prestataires pour une exécution efficace des opérations..
Missions :
Coordination Opérationnelle des Services de Nettoyage

Coordonner les équipes de nettoyage sur les différents sites (compétition et non-compétition) et s'assurer que les opérations se déroulent sans accroc.
Mettre en place et ajuster les plannings de nettoyage en fonction des besoins spécifiques des compétitions, des flux de spectateurs et des événements.
Superviser les prestataires externes pour s’assurer de la bonne exécution des contrats de nettoyage et de gestion des déchets.

Gestion des Déchets et du Tri Sélectif

Coordonner les opérations de collecte et de traitement des déchets, en s'assurant que les infrastructures adéquates (poubelles de tri, conteneurs) sont disponibles sur tous les sites.
Veiller à la mise en place et au respect des procédures de tri sélectif, et sensibiliser les équipes et volontaires à la gestion des déchets.
Travailler avec les services publics et les prestataires privés pour garantir une élimination appropriée des déchets, y compris les matières recyclables.

Sécurité et Normes Environnementales

Assurer le respect des normes locales et internationales en matière de gestion des déchets et de protection de l’environnement.  
S’assurer que les déchets potentiellement dangereux (produits chimiques, déchets médicaux, etc.) sont correctement identifiés, collectés et éliminés.

Gestion des Incidents 

Être le point de contact principal pour toute urgence liée au nettoyage ou à la gestion des déchets (déversements, accumulations non gérées, incidents sanitaires) sur les sites de compétition.
Mettre en place des plans d’urgence pour répondre à tout incident critique affectant la   propreté ou la gestion des déchets sur les sites.

Communication et Coordination  

Collaborer avec les autres départements (logistique, transport, sécurité, gestion des sites) pour s’assurer que les opérations de nettoyage et de gestion des déchets sont intégrées aux autres activités opérationnelles.

Participer aux réunions de planification et de coordination avec les autres équipes pour anticiper les besoins spécifiques en fonction du calendrier des compétitions et des événements
Reporting et Suivi des Opérations

Mettre en place des indicateurs de performance pour suivre l’efficacité des opérations de nettoyage et de gestion des déchets.
Fournir des rapports sur l'état des opérations de nettoyage et de gestion des déchets au Responsable CNW et aux équipes dirigeantes des opérations.

Analyser les performances des équipes et des prestataires pour proposer des améliorations dans les opérations et assurer une efficacité maximale pendant les JOJ.",,TECTRA SÉNÉGAL,Coordinateur du Nettoiement et du Tri des Déchets - Dakar,Referent Digital,Dakar,CDD,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/coordinateur-nettoiement-tri-dechets-dakar-1219608
"Niveau Bac+3 au moins en Supplychain, achats ou commerce. Esprit d’analyse et aptitude à résoudre les problèmes. Sens de la négociation et approche orientée résultats. Polyvalence pour gérer des aspects techniques (sourcing) et commerciaux. Proactivité et esprit d’équipe et motivation Une expérience commerciale serait un atout",Publiée le 11.12.2024,"Nous sommes à la recherche d'un(e) Assistant(e) Supplychain Stagiaire.
Missions principales :

Identification et sélection de nouveaux fournisseurs internationaux.
Évaluation des offres en termes de prix, qualité, et délais.
Participation aux négociations pour obtenir les meilleures conditions d’achat.
Vérification de la conformité des livraisons (quantité, qualité)
Bonne compréhension des principes de gestion fournisseurs et de la chaîne d’approvisionnement.
Sens de la négociation et compréhension des dynamiques commerciales (prix, marges, besoins clients).",,CABINET CARREE,Assistant(e) Supplychain Stagiaire - Dakar,Referent Digital,Dakar,Stage,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/assistante-supplychain-stagiaire-dakar-1239185
Les candidats doivent habiter kaolack et environs... être disponible immédiatement  avoir une bonne moralité savoir échanger avec les autres avoir quelques notions dans le domaine de la santé serait un atout,Publiée le 11.12.2024,"Une entreprise internationale évoluant dans le domaine de la santé biomédicale paramédicale à kaolack kassaville recrute de toute urgence des Secrétaires pour le développement de ses activités en externe.
Elle a pour objectif d'épaules les institutions sanitaires dans la lutte contre les maladies inflammatoires et chroniques ainsi que celles dégénératives grâce à son système de soins basé sur la magnétique et le naturel.
Missions :

Interagir avec les patients en face en face
Créer et sauvegarder une relation durable avec le patient
Assumer les suivis médicaux",,TOTAL SUCCESS WORLD INTERNATIONAL,Secrétaire - Kaolack,Referent Digital,Kaolack,CDI - Stage - Temps partiel,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/secretaire-kaolack-1237919
"Expérience préalable dans un rôle similaire dans le secteur immobilier ou dans un domaine connexe, de préférence. Excellentes compétences en communication écrite et verbale, ainsi qu'une capacité démontrée à interagir avec les clients de manière professionnelle. Maîtrise des outils informatiques, y compris MS Office et les logiciels de gestion immobilière; y compris de création de contenu : Canva, CapCut, etc. Aisance à créer du contenu à destination des réseaux sociaux : Youtube, TikTok, Instagram, LinkedIn, Facebook. Capacité à travailler de manière autonome et à gérer plusieurs tâches simultanément, tout en maintenant un haut niveau d'organisation et d'attention aux détails. Attitude proactive et orientée vers les résultats, avec une forte motivation à atteindre et à dépasser les objectifs fixés. Aptitude démontrée à travailler efficacement au sein d'une équipe, en contribuant à un environnement de travail collaboratif et positif. Disponible er flexible. Proactivité, minutie, sens du détail",Publiée le 20.11.2024,"L’agence immobilière du Groupe Bassari recherche activement un(e) Agent(e) Commercial(e) et Administratif(ve) dynamique et polyvalent(e) pour rejoindre son équipe. Le candidat idéal sera responsable de fournir un soutien commercial et administratif, tout en assurant un service clientèle de qualité.
Missions :

Assister la gérante dans la gestion quotidienne des activités, y compris la préparation de documents, la coordination des rendez-vous, et la gestion des bases de données clients.
Répondre aux appels téléphoniques, aux courriels et aux demandes de renseignements des clients de manière professionnelle et courtoise.
Préparer et mettre en forme les contrats de location, de vente, de courtage, ainsi que les présentations immobilières.
Assurer le suivi des dossiers clients et des transactions immobilières en cours, en veillant à leur bonne exécution et à leur clôture dans les délais impartis.
Être en mesure d’aller sur le terrain et participer à des initiatives de prospection et de génération de leads pour soutenir les objectifs commerciaux de l'agence.
Contribuer au développement de relations solides avec les clients en fournissant un service personnalisé et en répondant à leurs besoins de manière proactive.
Organiser des visites.
Création de contenu à destination des réseaux sociaux.
Assurer les courses administratives ou d’organisation d’événements.
Assurer la gestion des locations meublées et de leurs clients.
Assister la gérante sur toutes autres tâches connexes.",,LORIE CONCIERGERIE,"Agent Commercial et Administratif  - Dakar, Mamelle",Referent Digital,Dakar,CDD,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/agent-commercial-administratif-dakar-mamelle-1224749
competences,date_publication,detail_offre,email_rh,entreprise,intitule_offre,referenciel,region,type_offre,url_offre
"Expérience minimale d’un an en télévente dans les secteurs de l’énergie ou de la téléphonie. BAC+2 minimum requis. Excellente élocution en français, capable de captiver et convaincre. Maîtrise du stress et de la pression dans un environnement dynamique. Vous êtes chaleureux(se), dynamique, avec une passion pour la vente et le relationnel client. Rémunération fixe attractive + primes motivantes sur les résultats. Un environnement de travail stimulant, avec des opportunités d’évolution. Envie de relever le défi ?",Publiée le 14.11.2024,"Nous recrutons des Conseillers Commerciaux pour une campagne de télévente au sein de notre Call Center à Dakar.
Mission :

Contribuer activement à la réussite de nos campagnes en mettant à profit votre talent pour convaincre et fidéliser nos clients.",,TALIACOM,Conseillers Commerciaux  - Dakar,Hackeuse,Dakar,CDD - Stage,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/conseillers-commerciaux-dakar-1221808
"De formation Bac ou plus Aisance en communication, avec une maîtrise des outils de communication Dynamique et chaleureux Excellente expression orale et écrite en anglais et en français Résidence à Dakar de préférence Expérience antérieure en tant que téléconseiller (chargé de clientèle) est un atout.",Publiée le 11.12.2024,"Nous recherchons pour nos besoins de service des Chargés de Clientèle Bilingues (Français-Anglais) sur Dakar.
Missions :

Assurer la gestion et le suivi des demandes des clients en français et dans une autre langue.
Fournir des conseils et des solutions adaptées aux besoins des clients.
Gérer les réclamations et résoudre les problèmes de manière efficace.
Maintenir une communication claire et professionnelle avec les clients.
Collaborer avec les autres départements pour améliorer les processus et services.
Assurer la mise à jour des informations clients dans le système CRM.",,MAJOREL,Chargé de Clientèle Bilingue (Français-Anglais) -  Dakar,Hackeuse,Dakar,Stage,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/charge-clientele-bilingue-francais-anglais-dakar-921571
"Expérience confirmée en vente d’assurance et mutuelle santé. Excellentes capacités de communication et de persuasion. Sens de l’écoute, de l’organisation et du service client. Dynamisme, proactivité et goût du challenge. Salaire très attractif avec une base fixe compétitive. Primes exceptionnelles -basées sur les performances. Opportunités d’évolution au sein de l’entreprise. Environnement de travail stimulant et bienveillant.",Publiée le 05.11.2024,"Nous recherchons des Télévendeurs Expérimentés pour rejoindre notre équipe dynamique, spécialisée dans la vente d'assurances et de mutuelles santé. 
Missions :

Gérer les appels entrants et sortants pour promouvoir et vendre nos produits d’assurance et mutuelles santé.
Conseiller les clients et identifier leurs besoins pour leur proposer des solutions adaptées.
Assurer un suivi rigoureux des dossiers clients jusqu’à la finalisation des contrats.
Atteindre et dépasser les objectifs de vente fixés par la direction.",,NB CONSULTING SARL,Télévendeur Expérimenté en Assurance et Mutuelle Santé - Dakar,Hackeuse,Dakar,CDD - Stage,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/televendeur-experimente-assurance-mutuelle-sante-dakar-1215264
"Être apte à s'exprimer clairement et efficacement Savoir travailler simultanément sur un support téléphonique et informatique, Maitriser les techniques de vente Savoir adapter son argumentaire commercial selon le profil et les réactions du client, Avoir minimum 6mois d'expérience en vente",Publiée le 12.11.2024,"NB-Consulting recrute des Télévendeurs Expérimentés.
Missions :

Assurer une prospection rigoureuse
Traiter les objections des clients
Conclure ou valider les ventes",,NB CONSULTING SARL,Télévendeur Expérimenté  - Dakar,Hackeuse,Dakar,CDD - Stage,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/televendeur-experimente-dakar-1219540
